model,task,fold,roc_auc,pr_auc,accuracy,f1,precision,recall,brier,mae,rmse,r2,dir_acc
LSTM,cls_5d,5.0,0.5918171472007298,0.6742590533690449,0.5659539244105198,0.6817899909554197,0.5959575356754193,0.8484390449295188,0.2474020272582643,,,,
LSTM,reg_20d,5.0,,,,,,,,0.07938706738069361,0.0994263719065855,-2.525683333777483,0.44884655131217743
LSTM,reg_5d,5.0,,,,,,,,0.04662131932966649,0.0642513348035672,-6.026510375111609,0.5338924041444216
LogReg,cls_5d,5.0,0.5595950761847709,0.6284567453652358,0.5421053050186908,0.6245504955298283,0.56948474123367,0.755447521650521,0.25142562396240176,,,,
Ridge,reg_20d,5.0,,,,,,,,0.06317526981803868,0.08247697186768106,-1.5030973104385823,0.5294279945212127
Ridge,reg_5d,5.0,,,,,,,,0.03193279230168736,0.04207096702372562,-0.3443073797962992,0.5339355872304818
