model,task,fold,train_start,train_end,test_start,test_end,roc_auc,pr_auc,accuracy,f1,precision,recall,brier,mae,rmse,r2,dir_acc
LSTM,cls_5d,1,2015-04-01,2020-10-01,2020-10-01,2021-04-01,0.7132196162046909,0.8465542972484411,0.6526315789473685,0.7226890756302521,0.8269230769230769,0.6417910447761194,0.23176163746255546,,,,
LSTM,cls_5d,2,2015-04-01,2021-04-01,2021-04-01,2021-10-01,0.3670940170940171,0.4999909560663737,0.4639175257731959,0.6338028169014085,0.5,0.8653846153846154,0.2578050200001152,,,,
LSTM,cls_5d,3,2015-04-01,2021-10-01,2021-10-01,2022-04-01,0.7636280348144754,0.7631645222097958,0.4166666666666667,0.5555555555555556,0.39325842696629215,0.9459459459459459,0.25088543615515424,,,,
LSTM,cls_5d,4,2015-04-01,2022-04-01,2022-04-01,2022-10-01,0.7694989106753813,0.6860325437272359,0.625,0.7142857142857143,0.5555555555555556,1.0,0.2367405358333566,,,,
LSTM,cls_5d,5,2015-04-01,2022-10-01,2022-10-01,2023-04-01,0.5212954747116237,0.5421393195079506,0.5263157894736842,0.6341463414634146,0.527027027027027,0.7959183673469388,0.28823966508983145,,,,
LSTM,cls_5d,6,2015-04-01,2023-04-01,2023-04-01,2023-10-01,0.6764444444444444,0.6039659920126189,0.5789473684210527,0.6923076923076923,0.5294117647058824,1.0,0.2422026036158265,,,,
LSTM,cls_5d,7,2015-04-01,2023-10-01,2023-10-01,2024-04-01,0.44999999999999996,0.8734614333638213,0.6595744680851063,0.7948717948717948,0.8157894736842105,0.775,0.2072336994822219,,,,
LSTM,cls_5d,8,2015-04-01,2024-04-01,2024-04-01,2024-10-01,0.5083333333333333,0.5829092921617527,0.5773195876288659,0.6495726495726496,0.6333333333333333,0.6666666666666666,0.24855122891667628,,,,
LSTM,cls_5d,9,2015-04-01,2024-10-01,2024-10-01,2025-04-01,0.4697802197802198,0.5434662258633413,0.5531914893617021,0.6666666666666666,0.5675675675675675,0.8076923076923077,0.2575592424735431,,,,
LSTM,cls_5d,10,2015-04-01,2025-04-01,2025-04-01,2025-10-01,0.6257115749525617,0.772084648081081,0.6770833333333334,0.7737226277372263,0.7066666666666667,0.8548387096774194,0.22279395085224893,,,,
